Number,R,G,B,Type,Comments,Name,EffectType
DB0697,90,92,91,Dyed ColourMatteSilver Lined,,Frosted Silver Lined Gray ,SilverLinedFrosted
DB0702,199,123,37,transparent,,Transparent Light Topaz ,Transparent
DB0703,237,95,13,transparent,,Transparent Orange ,Transparent
DB0704,191,17,18,transparent,,Transparent Red Orange ,Transparent
DB0705,18,75,32,transparent,,Transparent Green ,Transparent
DB0706,28,128,206,transparent,,Transparent Aqua ,Transparent
DB0707,33,19,117,transparent,,Transparent Cobalt ,Transparent
DB0708,63,69,69,transparent,,Transparent Grey ,Transparent
DB0709,76,32,23,transparent,,Transparent Dark Topaz ,Transparent
DB0710,226,188,27,transparent,,Transparent Yellow ,Transparent
DB0711,96,60,72,transparent,,Transparent Smoky Amethyst ,Transparent
DB0712,144,165,24,transparent,,Transparent Chartreuse ,Transparent
DB0713,24,51,34,transparent,,Transparent Dark Emerald ,Transparent
DB0714,22,72,123,transparent,,Transparent Capri Blue ,Transparent
DB0715,54,39,34,transparent,,Transparent Root Beer ,Transparent
DB0721,237,221,12,opaque,,Opaque Yellow ,Opaque
DB0722,239,74,18,opaque,,Opaque Orange ,Opaque
DB0723,189,22,32,opaque,,Opaque Red ,Opaque
DB0724,69,121,59,opaque,,Opaque Green ,Opaque
DB0725,69,161,198,opaque,,Opaque Turquoise Blue ,Opaque
DB0726,34,24,123,opaque,,Opaque Cobalt ,Opaque
DB0727,223,37,25,opaque,,Opaque Vermillion Red ,Opaque
DB0728,149,119,131,opaque,,Opaque Mauve ,Opaque
DB0729,49,147,148,opaque,,Opaque Turquoise Green ,Opaque
DB0730,87,103,201,opaque,,Opaque Periwinkle ,Opaque
DB0731,104,103,101,opaque,,Opaque Grey ,Opaque
DB0732,232,203,163,opaque,,Opaque Dark Cream ,Opaque
DB0733,157,175,73,opaque,,Opaque Chartreuse ,Opaque
DB0734,53,29,27,opaque,,Opaque Chocolate ,Opaque
DB0741,211,210,218,MatteTransparent,,Matte Crystal ,MatteCrystal
DB0742,206,128,53,MatteTransparent,,Matte Transparent Light Topaz ,TransparentMatte
DB0743,228,200,31,MatteTransparent,,Matte Transparent Yellow ,TransparentMatte
DB0744,247,108,13,MatteTransparent,,Matte Transparent Orange ,TransparentMatte
DB0745,190,24,28,MatteTransparent,,Matte Transparent Red Orange ,TransparentMatte
DB0746,19,90,46,MatteTransparent,,Matte Transparent Green ,TransparentMatte
DB0747,54,144,222,MatteTransparent,,Matte Transparent Aqua ,TransparentMatte
DB0748,39,21,131,MatteTransparent,,Matte Transparent Cobalt,TransparentMatte
DB0749,80,86,86,MatteTransparent,,Matte Transparent Gray ,TransparentMatte
DB0751,240,219,4,MatteOpaque,,Matte Opaque Yellow ,OpaqueMatte
DB0752,238,68,17,MatteOpaque,,Malte Opaque Orange ,Opaque
DB0753,194,18,31,MatteOpaque,,Matte Opaque Red ,OpaqueMatte
DB0754,64,120,55,MatteOpaque,,Matte Opaque Green ,OpaqueMatte
DB0755,53,163,216,MatteOpaque,,Matte Opaque Turquoise Blue ,OpaqueMatte
DB0756,35,27,138,MatteOpaque,,Matte Opaque Cobalt ,OpaqueMatte
DB0757,216,20,21,MatteOpaque,,Matte Opaque Vermillion Red ,OpaqueMatte
DB0758,141,110,126,MatteOpaque,,Matte Opaque Mauve ,OpaqueMatte
DB0759,55,148,155,MatteOpaque,,Matte Opaque Turquoise Green ,OpaqueMatte
DB0760,98,112,209,MatteOpaque,,Matte Opaque Periwinkle ,OpaqueMatte
DB0761,107,106,104,MatteOpaque,,Matte Opaque Grey ,OpaqueMatte
DB0762,234,210,174,MatteOpaque,,Matte Opaque Dark Cream,OpaqueMatte
DB0763,163,181,79,MatteOpaque,,Matte Opaque Chartreuse ,OpaqueMatte
DB0764,93,50,33,MatteTransparent,,Matte Transparent Dark Topaz ,TransparentMatte
DB0765,115,79,91,MatteTransparent,,Matte Transparent Smoky Amethyst ,TransparentMatte
DB0766,165,179,40,MatteTransparent,,Matte Transparent Chartreuse ,TransparentMatte
DB0767,25,58,39,MatteTransparent,,Matte Transparent Dark Emerald ,TransparentMatte
DB0768,18,77,135,MatteTransparent,,Matte Transparent Capri Blue ,TransparentMatte
DB0769,57,42,37,MatteTransparent,,Matte Transparent Root Beer ,TransparentMatte
DB0771,136,120,84,Dyed ColourMatteTransparent,,Frosted Transparent Baffron ,TransparentFrosted
DB0772,96,76,69,Dyed ColourMatteTransparent,,Frosted Transparent Cinnamon ,TransparentFrosted
DB0773,110,55,52,Dyed ColourMatteTransparent,,Frosted Transparent Berry ,TransparentFrosted
DB0774,147,24,27,Dyed ColourMatteTransparent,,Frosted Transparent Red ,TransparentFrosted
DB0775,149,20,50,Dyed ColourMatteTransparent,,Frosted Transparent Scarlet ,TransparentFrosted
DB0776,20,67,49,Dyed ColourMatteTransparent,,Frosted Transparent Emerald ,TransparentFrosted
DB0777,167,84,40,Dyed ColourMatteTransparent,,Frosted Transparent Topaz ,TransparentFrosted
DB0778,156,78,74,Dyed ColourMatteTransparent,,Frosted Transparent Dark Rose ,TransparentFrosted
DB0779,169,44,40,Dyed ColourMatteTransparent,,Frosted Transparent Watermelon ,TransparentFrosted
DB0780,211,53,86,Dyed ColourMatteTransparent,,Frosted Transparent Bubble Gum Pink ,TransparentFrosted
DB0781,181,88,45,Dyed ColourMatteTransparent,,Frosted Transparent Amber ,TransparentFrosted
DB0782,62,44,58,Dyed ColourMatteTransparent,,Frosted Transparent Plum ,TransparentFrosted
DB0783,102,68,188,Dyed ColourMatteTransparent,,Frosted Transparent Purple ,TransparentFrosted
DB0784,58,41,49,Dyed ColourMatteTransparent,,Frosted Transparent Dark Smoky Amethyst ,TransparentFrosted
DB0785,48,37,93,Dyed ColourMatteTransparent,,Frosted Transparent Cobalt ,TransparentFrosted
DB0786,8,111,118,Dyed ColourMatteTransparent,,Frosted Transparent Teal ,TransparentFrosted
DB0787,12,86,161,Dyed ColourMatteTransparent,,Frosted Transparent Capri Blue ,TransparentFrosted
DB0788,27,67,77,Dyed ColourMatteTransparent,,Frosted Transparent Dark Teal ,TransparentFrosted
DB0791,156,20,34,Opaque,,Frosted Opaque Bright Red ,OpaqueFrosted
DB0792,79,109,120,Dyed ColourMatte,,Frosted Opaque Shale ,OpaqueFrosted
DB0793,9,150,159,Dyed ColourMatteOpaque,,Frosted Opaque Turquoise Green ,OpaqueFrosted
DB0794,123,64,32,MatteOpaque,,Frosted Opaque Sienna ,OpaqueFrosted
DB0795,175,53,29,Dyed ColourMatteOpaque,,Frosted Opaque Cinnabar ,OpaqueFrosted
DB0796,151,40,46,Dyed ColourMatteOpaque,,Frosted Opaque Red ,OpaqueFrosted
DB0797,61,79,53,Dyed ColourMatteOpaque,,Frosted Opaque Jade Green ,OpaqueFrosted
DB0798,55,119,144,Dyed ColourMatteOpaque,,Frosted Opaque Capri Blue ,OpaqueFrosted
DB0799,92,92,126,Dyed ColourMatteOpaque,,Frosted Opaque Lavender ,OpaqueFrosted
DB0800,153,103,128,MatteOpaque,,Frosted Opaque Antique Rose ,OpaqueFrosted
DB0820,213,175,196,Silk,,Pale Rose Satin,Satin
DB0821,242,190,153,Silk,,Pale Apricot Satin ,Satin
DB0822,164,152,154,Silk,,Light Tan Satin ,Satin
DB0823,245,225,138,Silk,,Lemon Ice Satin ,Satin
DB0824,238,170,147,Silk,,Light Peach Satin ,Satin
DB0825,238,152,139,Silk,,Salmon Satin ,Satin
DB0826,167,133,124,Silk,,Blush Satin ,Satin
DB0827,138,124,123,Silk,,Tan Satin ,Satin
DB0828,149,185,157,Silk,,Mint Green Satin ,Satin
DB0829,146,158,146,Silk,,Pale Moss Green Satin ,Satin
DB0830,181,208,235,Silk,,Pale Aqua Satin ,Satin
DB0831,154,171,217,Silk,,Light Periwinkle Satin ,Satin
DB0832,183,186,221,Silk,,Pale Violet Satin ,Satin
DB0833,200,162,183,Silk,,Pale Orchid Satin ,Satin
DB0852,216,152,106,ABMatte,multi,Matte Transparent Light Topaz ABB ,ABTransparentMatte
DB0853,121,85,87,ABMatte,multi,Matte Transparent Dark Topaz AB ,ABTransparentMatte
DB0854,225,200,97,ABMatte,multi,Matte Transparent Yellow AB ,ABTransparentMatte
DB0855,245,119,68,ABMatte,multi,Matte Transparent Orange AB ,ABTransparentMatte
DB0856,212,65,83,ABMatte,multi,Matte Transparent Red Orange AB ,ABTransparentMatte
DB0857,133,109,125,ABMatte,multi,Matte Transparent Smoky Amethyst AB ,ABTransparentMatte
DB0858,63,121,96,ABMatte,multi,Matte Transparent Green AB ,ABTransparentMatte
DB0859,60,92,89,ABMatte,multi,Matte Transparent Dark Emerald AB ,ABTransparentMatte
DB0860,172,189,95,ABMatte,multi,Matte Transparent Chartreuse AB ,ABTransparentMatte
DB0861,95,166,230,ABMatte,multi,Matte Transparent Aqua AB ,ABTransparentMatte
DB0862,49,109,163,ABMatte,multi,Matte Transparent Capri Blue AB ,ABTransparentMatte
DB0863,104,112,125,ABMatte,multi,Malte Transparent Grey AB ,ABTransparent
DB0864,75,71,158,ABMatte,multi,Matte Transparent Cobalt AB ,ABTransparentMatte
DB0865,87,80,88,ABMatte,multi,Matte Brown AB ,ABMatte
DB0867,143,66,84,ABMatteTransparent,multi,Matte Transparent Dark Cranberry AB ,ABTransparentMatte
DB0868,236,200,202,ABMatteTransparent,multi,Matte Transparent Pink Mist AB ,ABTransparentMatte
DB0869,103,86,104,ABMatteTransparent,multi,Matte Transparent Mauve AB ,ABTransparentMatte
DB0870,110,105,128,MatteTransparent,multi,Matte Transparent Light Amethyst AB ,ABTransparentMatte
DB0871,67,74,92,ABMatteOpaque,multi,Matte Black AB ,ABMatte
DB0872,240,95,76,ABMatte,multi,Matte Opaque Orange AB ,ABOpaqueMatte
DB0873,214,65,84,ABMatteOpaque,multi,Matte Opaque Vermillion Red AB ,ABOpaqueMatte
DB0874,188,60,83,ABMatteOpaque,multi,Matte Opaque Red AB ,ABOpaqueMatte
DB0875,150,127,147,ABMatteOpaque,,Matte Opaque Mauve AB ,ABOpaqueMatte
DB0876,165,184,102,ABMatteOpaque,,Matte Opaque Chartreuse AB ,ABOpaqueMatte
DB0877,85,132,96,ABMatteOpaque,multi,Matte Opaque Green AB ,ABOpaqueMatte
DB0878,79,153,162,ABMatteOpaque,,Matte Opaque Turquoise Green AB ,ABOpaqueMatte
DB0879,85,168,212,ABMatteOpaque,,Matte Opaque Turquoise Blue AB ,ABOpaqueMatte
DB0880,76,75,143,ABMatteOpaque,multi,Matte Opaque Cobalt AB ,ABOpaqueMatte
DB0881,110,127,209,ABMatteOpaque,,Matte Opaque Periwinkle AB ,ABOpaqueMatte
DB0882,119,119,121,ABMatteOpaque,,Matte Opaque Grey AB ,ABOpaqueMatte
DB0883,233,210,176,ABMatteOpaque,,Matte Opaque Dark Cream AB ,ABOpaqueMatte
DB0884,95,74,83,ABMatteOpaque,multi,Matte Opaque Dark Grey AB ,ABOpaqueMatte
DB0901,154,113,85,N/A,,Sparkling Honey Beige Lined Crystal ,LinedCrystalSparkling
DB0902,171,98,128,N/A,,Sparkling Peony Pink Lined Crystal ,LinedCrystalSparkling
DB0903,167,163,115,N/A,,Sparkling Celery Lined Crystal ,LinedCrystalSparkling
DB0904,41,130,124,N/A,,Sparkling Aqua Green Lined Crystal ,LinedCrystalSparkling
DB0905,50,117,162,N/A,,Sparkling Blue Lined Crystal ,LinedCrystalSparkling
DB0906,95,75,128,N/A,,Sparkling Purple Lined Crystal ,LinedCrystalSparkling
DB0907,140,119,102,N/A,,Sparkling Beige Lined Crystal ,LinedCrystalSparkling
DB0908,128,119,76,N/A,,Sparkling Beige Lined Chartreuse ,LinedSparkling
DB0909,128,102,53,N/A,,Sparkling Honey Beige Lined Chartreuse ,LinedSparkling
DB0910,158,154,91,N/A,,Sparkling Yellow Green Lined Crystal ,LinedCrystalSparkling
DB0911,155,120,64,N/A,,Sparkling Light Peridot Lined Topaz ,LinedSparkling
DB0912,108,85,91,N/A,,Sparkling Cinnamon Lined Topaz ,LinedSparkling
DB0913,148,85,78,N/A,,Sparkling Salmon Lined Topaz ,LinedSparkling
DB0914,174,79,109,N/A,,Sparkling Rose Lined Crystal ,LinedCrystalSparkling
DB0915,131,87,78,N/A,,Sparkling Ginger Lined Crystal ,LinedCrystalSparkling
DB0916,61,117,78,N/A,,Sparkling Green Lined Chartreuse ,LinedSparkling
DB0917,79,103,79,N/A,,Sparkling Turquoise Green Lined Topaz ,LinedSparkling
DB0918,38,114,112,N/A,,Sparkling Dark Aqua Green Lined Crystal ,LinedCrystalSparkling
DB0919,40,86,84,N/A,,Sparkling Dark Teal Lined Chartreuse ,LinedSparkling
DB0920,43,99,148,N/A,,Sparkling Cerulean Blue Lined Crystal ,LinedCrystalSparkling
DB0921,58,78,87,N/A,,Sparkling Blue Lined Topaz ,LinedSparkling
DB0922,104,83,124,N/A,,Sparkling Orchid Lined Aqua,LinedSparkling
DB0923,85,73,113,N/A,,Sparkling Amethyst Lined Crystal,LinedCrystalSparkling
DB0924,125,68,77,N/A,,Sparkling Cranberry Lined Crystal ,LinedCrystalSparkling
DB0925,75,75,87,N/A,,Sparkling Charcoal Lined Crystal ,LinedCrystalSparkling
DB0981,123,97,70,Metallic,multi,Sparkling Lined Metallic Sand Dune,MetallicLinedSparkling
DB0982,136,96,104,N/A,multi,Sparkling Lined Purple/Salmon/Gold Tutti Frutti,LinedSparkling
DB0983,146,146,74,N/A,multi,Sparkling Lined Lemon/Lime,LinedSparkling
DB0984,59,116,99,N/A,multi,Sparkling Lined Aqua/Teal Fresco,LinedSparkling
DB0985,55,99,108,N/A,multi,Sparkling Lined Green/Blue Caribbean,LinedSparkling
DB0986,104,100,114,N/A,multi,Sparkling Lined Purple/Gold Majestic,LinedSparkling
DB1001,61,61,69,Metallic,,Metallic Plum Emerald Gold AB ,MetallicAB
DB1002,59,38,35,Metallic,,Metallic Dark Copper Gold AB ,MetallicAB
DB1003,41,48,54,Metallic,,Metallic Midnight Blue Gold AB ,MetallicAB
DB1004,66,54,58,Metallic,,Metallic: Dark Plum Gold AB ,MetallicAB
DB1005,44,60,83,Metallic,,Metallic Royal Purple GoldAB ,MetallicAB
DB1006,50,70,71,Metallic,,Metallic Blue Green Gold AB ,MetallicAB
DB1010,109,83,70,LusterMetallic,,Metallic Earth Batik Gold AB ,MetallicAB
DB1011,96,85,83,Luster,,Metallic Dusty Mauve Gold AB ,MetallicAB
DB1012,90,64,75,Luster,,Metallic Medium Raspberry Gold AB ,MetallicAB
DB1013,107,73,71,Luster,,Metallic Tea Berry Gold AB ,MetallicAB
DB1014,95,74,83,LusterMetallic,,Metallic Thistle Gold AB ,MetallicAB
DB1015,121,77,94,Luster,,Metallic Raspberry Gold AB ,MetallicAB
DB1016,119,69,72,LusterMetallic,,Metallic Rhubarb Gold AB ,MetallicAB
DB1051,73,41,28,MatteMetallic,,Matte Metallic Bronze Gold AB ,MetallicABMatte
DB1052,56,67,85,MatteMetallic,,Matte Metallic Blueberry Gold AB ,MetallicABMatte
DB1053,64,61,68,MatteMetallic,,Matte Metallic Plum Emerald Gold AB ,MetallicABMatte
DB1054,65,70,92,MatteMetallic,,Matte Metallic Plum Gold ABB ,MetallicABMatte
DB1055,89,75,72,MatteMetallic,,Matte Metallic Grey Dusk Gold AB ,MetallicABMatte
DB1056,95,83,87,MatteMetallic,,Matte Metallic Taupe Gold AB ,MetallicABMatte
DB1061,123,99,97,ABMatteMetallic,,Matte Metallic Dusky Clay AB ,MetallicABMatte
DB1062,104,91,101,ABMatteMetallic,,Matte Metallic Purple Sage Gold AB ,MetallicABMatte
DB1063,108,112,123,ABMatteMetallic,,Matte Metallic Blue Slate Gold AB ,MetallicABMatte
DB1064,115,94,103,ABMatteMetallic,,Matte Metallic Orchid Gold AB ,MetallicABMatte
DB1065,122,108,125,ABMatteMetallic,,Matte Metallic Wisteria Gold AB ,MetallicABMatte
DB1066,135,99,113,LusterMatteMetallic,,Matte Metallic Heather Gold AB ,MetallicABMatte
DB1067,117,100,106,ABMatteMetallic,,Matte Metallic Thistle Gold AB ,MetallicABMatte
DB1101,137,65,25,Transparent,,Transparent Marigold,Transparent
DB1102,118,21,30,Transparent,,Transparent Dark Cranberry ,Transparent
DB1103,226,172,160,Transparent,,Transparent Pink Mist ,Transparent
DB1104,67,44,52,Transparent,,Transparent Mauve ,Transparent
DB1105,74,58,84,Transparent,,Transparent Light Amethyst ,Transparent
DB1106,71,132,39,Transparent,,Transparent Lime ,Transparent
DB1107,55,71,35,Transparent,,Transparent Olive ,Transparent
DB1108,19,86,94,Transparent,,Transparent Caribbean Teal,Transparent
DB1109,14,125,204,Transparent,,Transparent Ocean Blue ,Transparent
DB1110,41,77,187,Transparent,,Transparent Are ,Transparent
DB1111,142,135,127,Transparent,,Transparent Grey Mist ,Transparent
DB1112,209,162,90,Transparent,,Transparent Light Straw ,Transparent
DB1131,212,169,118,Opaque,,Opaque Pear ,Opaque
DB1132,247,191,10,Opaque,,Opaque Canary ,Opaque
DB1133,245,135,12,Opaque,,Opaque Mandarin ,Opaque
DB1134,99,30,33,Opaque,,Opaque Currant ,Opaque
DB1135,77,88,56,Opaque,,Opaque Avocado ,Opaque
DB1136,69,156,147,Opaque,,Opaque Sea Opal ,Opaque
DB1137,137,155,227,Opaque,,Opaque Agate Blue ,Opaque
DB1138,62,66,166,Opaque,,Opaque Cyan Blue ,Opaque
DB1139,133,131,144,Opaque,,Opaque Ghost Grey ,Opaque
DB1151,168,154,117,FrostedGalvanised,,Galvanized Frosted Silver ,GalvanizedFrosted
DB1152,180,146,121,FrostedGalvanised,,Galvanized Frosted Champagne ,GalvanizedFrosted
DB1153,182,144,105,FrostedGalvanised,,Galvanized Frosted Mead ,GalvanizedFrosted
DB1154,185,155,83,FrostedGalvanised,,Galvanized Frosted Zest ,GalvanizedFrosted
DB1155,174,132,110,FrostedGalvanised,,Galvanized Frosted Muscat ,GalvanizedFrosted
DB1156,165,119,119,FrostedGalvanised,,Galvanized Frosted Pink Blush ,GalvanizedFrosted
DB1157,138,102,104,FrostedGalvanised,,Galvanized Frosted Berry ,GalvanizedFrosted
DB1158,160,142,132,FrostedGalvanised,,Galvanized Frosted Light Smoky Amethyst ,GalvanizedFrosted
DB1159,136,124,108,Galvanised,,Galvanized Frosted Pewter ,GalvanizedFrosted
DB1162,146,115,97,GalvanisedMatte,,Galvanized Matte Champagne ,GalvanizedMatte
DB1163,152,116,82,GalvanisedMatte,,Galvanized Matte Mead,GalvanizedMatte
DB1164,172,147,91,GalvanisedMatte,,Galvanized Matte Zest ,GalvanizedMatte
DB1165,151,112,97,GalvanisedMatte,,Galvanized Matte Muscat ,GalvanizedMatte
DB1166,156,115,113,GalvanisedMatte,,Galvanized Matte Pink Blush ,GalvanizedMatte
DB1167,121,84,91,GalvanisedMatte,,Galvanized Matte Berry ,GalvanizedMatte
DB1168,132,121,117,GalvanisedMatte,,Galvanized Matte Light Smoky Amethyst ,GalvanizedMatte
DB1169,119,109,99,GalvanisedMatte,,Galvanized Matte Pewter ,GalvanizedMatte
DB1170,123,118,99,GalvanisedMatte,,Galvanized Matte Aloe ,GalvanizedMatte
DB1171,83,127,110,GalvanisedMatte,,Galvanized Matte Dark Mint ,GalvanizedMatte
DB1172,78,106,109,GalvanisedMatte,,Galvanized Matte Dark Aqua ,GalvanizedMatte
DB1173,130,92,117,GalvanisedMatte,,Galvanized Matte Magenta ,GalvanizedMatte
DB1174,94,77,96,GalvanisedMatte,,Galvanized Matte Eggplant,GalvanizedMatte
DB1175,88,87,82,GalvanisedMatte,,Galvanized Matte Graphite ,GalvanizedMatte
DB1181,150,143,117,FrostedGalvanised,,Galvanized Frosted Alce ,GalvanizedFrosted
DB1182,72,140,119,FrostedGalvanised,,Galvanized Frosted Dark Mint ,GalvanizedFrosted
DB1183,77,126,131,FrostedGalvanised,,Galvanized Frosted Dark Aqua ,GalvanizedFrosted
DB1184,147,84,127,FrostedGalvanised,,Galvanized Frosted Magenta ,GalvanizedFrosted
DB1185,108,88,115,FrostedGalvanised,,Galvanized Frosted Eggplant ,GalvanizedFrosted
DB1186,92,87,83,FrostedGalvanised,,Galvanized Frosted Graphite,GalvanizedFrosted
DB1201,143,87,38,Silver Lined,,Sever Lined Marigold ,Lined
DB1202,79,42,33,Silver Lined,,Silver Lined Dark Cranberry ,SilverLined
DB1203,181,149,136,Silver Lined,,Silver Lined Pink Mist ,SilverLined
DB1204,88,63,66,Silver Lined,,Silver Lined Mauve ,SilverLined
